channel,label,marker,nuclei,cytoplasm,membrane,secreted,choose as membrane,full,Metal,FullStack,membrane_cytoplasm,file_marker,marker_number
I(127),127I,127I,0,0,0,0,0,0,I127,0,0,127I,0
Xe(134),134Xe,134Xe,0,0,0,0,0,0,Xe134,1,0,134Xe,1
Ba(138),138Ba,138Ba,0,0,0,0,0,0,Ba138,2,0,138Ba,2
Pr(141),141Pr_CD38,CD38,0,0,1,0,1,1,Pr141,3,1,CD38,3
Nd(142),142Nd_PDGFRb,PDGFRb,0,1,1,0,0,1,Nd142,4,1,PDGFRb,4
Nd(143),143Nd_Vimentin,Vimentin,0,1,1,0,1,1,Nd143,5,1,Vimentin,5
Nd(144),144Nd_CD14,CD14,0,1,1,1,1,1,Nd144,6,1,CD14,6
Nd(145),145Nd_CD127,CD127,0,0,1,1,1,1,Nd145,7,1,CD127,7
Nd(146),146Nd_CD16,CD16,0,0,1,1,1,1,Nd146,8,1,CD16,8
Sm(147),147Sm_IDO,IDO,0,1,0,0,0,1,Sm147,9,1,IDO,9
Nd(148),148Nd_CD278,CD278,0,0,1,1,0,1,Nd148,10,1,CD278,10
Sm(149),149Sm_CD194,CD194,0,0,1,0,1,1,Sm149,11,1,CD194,11
Nd(150),150Nd_CD274,CD274,0,1,1,0,0,1,Nd150,12,1,CD274_PDL1,12
Eu(151),151Eu_CD134,CD134,0,0,1,0,0,1,Eu151,13,1,CD134_OX40,13
Sm(152),152Sm_CD45,CD45,0,0,1,0,1,1,Sm152,14,1,CD45,14
Eu(153),153Eu_CD223,CD223,0,0,1,1,0,1,Eu153,15,1,CD223_LAG3,15
Sm(154),154Sm_CD11c,CD11c,0,0,1,0,0,1,Sm154,16,1,CD11c,16
Gd(155),155Gd_FoxP3,FoxP3,1,0,0,0,0,1,Gd155,17,0,FoxP3,17
Gd(156),156Gd_CD4,CD4,0,0,1,0,1,1,Gd156,18,1,CD4,18
Gd(158),158Gd_E_Cadherin,E_Cadherin,0,1,1,0,1,1,Gd158,19,1,E_Cadherin,19
Tb(159),159Tb_CD68,CD68,0,1,1,0,1,1,Tb159,20,1,CD68,20
Gd(160),160Gd_EpCAM,EpCAM,0,0,1,0,1,1,Gd160,21,1,EpCAM,21
Dy(161),161Dy_CD20,CD20,0,0,1,0,1,1,Dy161,22,1,CD20,22
Dy(162),162Dy_CD8a,CD8a,0,0,1,1,1,1,Dy162,23,1,CD8a,23
Dy(163),163Dy_VEGF,VEGF,0,0,0,1,0,1,Dy163,24,0,VEGF,24
Dy(164),164Dy_CA_IX,CA_IX,1,0,1,0,0,1,Dy164,25,1,CA_IX,25
Ho(165),165Ho_CD279,CD279,0,0,1,0,0,1,Ho165,26,1,CD279_PD1,26
Er(166),166Er_CD74,CD74,0,1,1,0,1,1,Er166,27,1,CD74,27
Er(167),167Er_CD366,CD366,0,0,1,0,0,1,Er167,28,1,CD366_TIM3,28
Er(168),168Er_Ki67,Ki67,1,0,0,0,0,1,Er168,29,0,Ki67,29
Tm(169),169Tm_Collagen_I,Collagen_I,0,0,0,1,0,1,Tm169,30,0,Collagen_I,30
Er(170),170Er_CD3,CD3,0,0,1,0,1,1,Er170,31,1,CD3,31
Yb(171),171Yb_CD27,CD27,0,0,1,1,1,1,Yb171,32,1,CD27,32
Yb(172),172Yb_FAP,FAP,0,0,1,1,0,1,Yb172,33,1,FAP,33
Yb(173),173Yb_CD11b,CD11b,0,0,1,0,0,1,Yb173,34,1,CD11b,34
Yb(174),174Yb_HLA_DR,HLA_DR,0,1,1,0,1,1,Yb174,35,1,HLA_DR,35
Lu(175),175Lu_Alpha_SMA,Alpha_SMA,0,1,0,0,0,1,Lu175,36,1,Alpha_SMA,36
Yb(176),176Yb_AXL,AXL,0,0,1,0,0,1,Yb176,37,1,AXL,37
Ir(191),DNA1,DNA1,1,0,0,0,0,1,Ir191,38,0,DNA1,38
Ir(193),DNA2,DNA2,1,0,0,0,0,1,Ir193,39,0,DNA2,39
Pb(208),208Pb,208Pb,0,0,0,0,0,0,Pb208,40,0,208Pb,40
